11,11935.3556,5.54E-25,1.21E-08,0.0617,0.359,446.697,0.68,0,28,1,707,606,445
11,11935.504,1.10E-26,5.63E-10,0.0758,0.3283,885.6,0.68,0,28,1,826,827,62
11,11935.801,9.60E-26,5.97E-09,0.0688,0.345,610.114,0.68,0,28,1,541,542,65
11,11935.962,7.40E-25,5.88E-09,0.071,0,447.252,0.68,0,28,1,717,616,62
11,11936.0156,2.63E-25,6.12E-09,0.0844,0.4389,383.843,0.68,0,30,1,312,431,462
11,11937.391,2.50E-26,1.05E-09,0.0672,0.3989,488.134,0.83,0,29,1,331,440,60
11,11937.541,2.20E-25,9.24E-09,0.0844,0.4389,488.134,0.68,0,28,1,441,440,62
11,11937.554,6.07E-26,7.81E-10,0.0681,0.376,488.108,0.66,0,29,1,330,441,310
11,11937.658,6.50E-25,9.10E-09,0.0844,0.383,488.108,0.68,0,28,1,440,441,62
11,11937.6688,6.27E-25,9.35E-08,0.0758,0.377,1122.709,0.68,0,30,1,744,845,452
11,11938.922,1.34E-24,1.13E-07,0.0758,0.417,1006.116,0.68,0,30,1,735,836,362
11,11939.027,9.80E-27,3.47E-09,0.0683,0.3009,1080.386,0.68,0,30,1,909,928,62
11,11939.5173,2.87E-25,3.62E-09,0.0917,0.449,206.301,0.68,0,28,1,423,322,465
11,11940.495,5.30E-27,8.03E-10,0.0712,0.41,882.891,0.68,0,29,1,726,817,62
11,11940.533,8.30E-27,5.24E-09,0.0617,0.2818,1446.129,0.68,0,30,1,1019,1038,62
11,11941.014,3.00E-26,3.52E-09,0.0683,0.3009,1079.08,0.68,0,30,1,919,918,62
11,11942.437,7.94E-26,6.78E-08,0.0758,0.3283,1255.913,0.68,0,30,1,752,853,332
11,11942.666,1.80E-26,3.62E-10,0.0919,0.4661,285.219,0.68,0,30,1,212,331,62
11,11943.02622,2.60E-25,7.37E-08,0.0758,0.3283,1255.167,0.68,0,30,1,753,854,562
11,11944.177,1.60E-26,5.94E-10,0.0857,0.5197,503.968,0.72,0,29,1,422,533,60
11,11944.526,3.03E-25,3.77E-09,0.0551,0.283,586.243,0.44,0,28,1,808,707,465
11,11944.554,1.70E-26,3.53E-10,0.0778,0.4291,610.341,0.68,0,30,1,524,541,62
11,11944.724,8.50E-27,3.45E-10,0.0644,0.3841,586.479,0.68,0,28,1,716,717,62
11,11944.864,1.50E-25,6.09E-09,0.0573,0.267,586.479,0.68,0,28,1,818,717,65
11,11945.308,3.90E-25,5.82E-09,0.0844,0.569,275.497,0.68,0,28,1,514,413,62
11,11945.484,1.10E-26,4.51E-08,0.0683,0.3009,1810.589,0.68,0,30,1,871,972,62
11,11945.489,3.50E-27,4.31E-08,0.0683,0.3009,1810.584,0.68,0,30,1,872,973,62
11,11947.358,1.60E-26,3.80E-10,0.071,0.4228,446.697,0.68,0,28,1,625,606,62
11,11947.912,7.28E-25,3.15E-09,0.0915,0.44,212.156,0.68,0,28,1,422,321,455
11,11947.9745,2.57E-24,1.21E-07,0.0758,0.402,885.6,0.68,0,30,1,726,827,462
11,11948.322,8.10E-27,2.64E-11,0.0919,0.4661,136.762,0.68,0,28,1,220,303,62
11,11949.078,4.40E-26,1.13E-09,0.0458,0.3719,744.163,0.68,0,29,1,707,818,60
11,11949.083,5.06E-25,7.04E-08,0.0758,0.389,882.891,0.68,0,30,1,716,817,442
11,11949.845,1.04E-25,7.40E-09,0.0471,0.3083,744.064,0.68,0,29,1,717,808,330
